City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Presidente Medici,BR,83.61,light rain,-11.18,-61.9,Oliveira Palace Hotel
511,Sao Lourenco Do Sul,BR,82.45,light rain,-31.37,-51.98,Hotel Pousada Verde Água
513,Itarema,BR,85.44,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
515,Tiangua,BR,89.26,overcast clouds,-3.73,-40.99,Hotel São Francisco
517,Cockburn Town,TC,80.56,scattered clouds,21.46,-71.14,Osprey Beach Hotel
518,Muisne,EC,82.51,overcast clouds,0.6,-80.03,Quinta Samay
526,Puerto Narino,CO,85.95,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
528,Itaituba,BR,91.56,scattered clouds,-4.28,-55.98,Hotel Campos
539,Puerto Cabezas,NI,85.96,broken clouds,14.04,-83.39,Tour Operadora ASLA
542,Carutapera,BR,85.73,overcast clouds,-1.2,-46.02,Lidera
544,Barreirinhas,BR,86.76,overcast clouds,-2.75,-42.83,Gran Lençóis Flat Residence
551,Gboko,NG,88.03,scattered clouds,7.32,9.0,Mavillah Apartment and Suites
556,Cacu,BR,90.97,overcast clouds,-18.56,-51.13,Império Hotel
557,Bathsheba,BB,83.01,few clouds,13.22,-59.52,Atlantis Hotel
567,Maningrida,AU,80.37,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
569,Bucerias,MX,87.33,few clouds,20.75,-105.33,Royal Decameron Complex - Puerto Vallarta
572,Senador Jose Porfirio,BR,84.24,overcast clouds,-2.59,-51.95,MORADA DO SOL pousada
573,Itarantim,BR,84.42,few clouds,-15.66,-40.07,Hilton Carlos Ribeiro
575,Puerto Colombia,CO,86.09,broken clouds,10.99,-74.95,Hotel El Emigrante
579,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.17,Aviador Hotel Boutique
588,San Rafael Del Sur,NI,90.57,few clouds,11.85,-86.44,Hospedaje El Chino
589,Panaba,MX,86.67,clear sky,21.28,-88.27,Hotel Amor
