City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Tomatlan,MX,2021-11-23 22:16:40,19.9333,-105.25,83.57,61,22,5.23,few clouds
166,Mount Isa,AU,2021-11-23 22:16:40,-20.7333,139.5,83.97,28,40,9.22,scattered clouds
167,Komsomolskiy,UZ,2021-11-23 22:07:00,40.4272,71.7189,38.62,38,100,1.12,overcast clouds
168,Jumla,NP,2021-11-23 22:16:41,29.2747,82.1838,39.58,28,0,4.65,clear sky
169,Qurayyat,SA,2021-11-23 22:16:41,31.3318,37.3428,50.18,76,0,0.0,clear sky
170,Viedma,AR,2021-11-23 22:16:42,-40.8135,-62.9967,84.88,19,92,14.07,overcast clouds
171,Uinskoye,RU,2021-11-23 22:16:42,56.8817,56.5813,12.96,92,94,10.16,overcast clouds
172,Celestun,MX,2021-11-23 22:16:43,20.8667,-90.4,78.78,66,22,16.78,few clouds
173,Saskylakh,RU,2021-11-23 22:16:43,71.9167,114.0833,-23.01,94,13,11.32,few clouds
174,Nurmijarvi,FI,2021-11-23 22:16:43,60.4641,24.8073,37.62,89,75,14.97,snow
175,Yellowknife,CA,2021-11-23 22:15:05,62.456,-114.3525,-12.59,96,100,7.23,overcast clouds
176,Colesberg,ZA,2021-11-23 22:16:44,-30.72,25.0972,50.54,67,80,13.62,broken clouds
177,Umm Kaddadah,SD,2021-11-23 22:16:44,13.6017,26.6876,69.82,20,4,13.22,clear sky
178,San Lorenzo,PY,2021-11-23 22:16:45,-25.3333,-57.5333,79.74,78,75,5.99,broken clouds
179,The Valley,AI,2021-11-23 22:16:46,18.217,-63.0578,80.74,78,20,6.91,few clouds
180,Marsa Matruh,EG,2021-11-23 22:16:46,31.3525,27.2453,64.6,56,11,8.88,few clouds
181,Cayenne,GF,2021-11-23 22:16:46,4.9333,-52.3333,82.44,82,75,4.61,broken clouds
182,Smithers,CA,2021-11-23 22:16:47,54.7804,-127.1743,34.12,69,40,8.05,scattered clouds
183,Kaitangata,NZ,2021-11-23 22:16:47,-46.2817,169.8464,60.21,51,100,4.72,overcast clouds
184,Marakkanam,IN,2021-11-23 22:16:48,12.2,79.95,78.4,80,100,9.4,overcast clouds
185,Bengkulu,ID,2021-11-23 22:16:48,-3.8004,102.2655,74.95,85,99,3.02,overcast clouds
186,Asau,RO,2021-11-23 22:16:48,46.4333,26.4,37.76,94,70,2.33,broken clouds
187,Baiao,BR,2021-11-23 22:16:49,-2.7906,-49.6717,81.27,68,100,1.88,overcast clouds
188,Sao Gabriel Da Cachoeira,BR,2021-11-23 22:16:49,-0.1303,-67.0892,75.45,96,95,3.36,overcast clouds
189,Trat,TH,2021-11-23 22:16:50,12.5,102.5,72.3,85,92,9.62,overcast clouds
190,Calabazar De Sagua,CU,2021-11-23 22:16:50,22.6447,-79.8961,73.87,73,40,10.36,scattered clouds
191,Banda Aceh,ID,2021-11-23 22:12:53,5.5577,95.3222,78.93,84,100,5.32,overcast clouds
192,Aksarka,RU,2021-11-23 22:16:50,66.5606,67.7975,5.34,98,100,3.09,overcast clouds
193,Da Nang,VN,2021-11-23 22:13:04,16.0678,108.2208,69.78,94,75,5.75,broken clouds
194,Butaritari,KI,2021-11-23 22:16:51,3.0707,172.7902,82.02,73,100,16.75,overcast clouds
195,Port Elizabeth,ZA,2021-11-23 22:11:51,-33.918,25.5701,57.09,60,72,12.01,broken clouds
196,Mocuba,MZ,2021-11-23 22:16:52,-16.8392,36.9856,76.21,81,28,3.09,scattered clouds
197,Sayville,US,2021-11-23 22:16:52,40.7359,-73.0821,40.51,38,75,4.0,broken clouds
198,Husavik,IS,2021-11-23 22:16:52,66.0449,-17.3389,30.11,99,87,14.52,snow
199,Kanigoro,ID,2021-11-23 22:16:53,-8.13,112.219,74.01,92,100,2.95,light rain
200,Heihe,CN,2021-11-23 22:15:47,50.2441,127.4902,18.18,89,100,23.47,overcast clouds
201,Nieuw Amsterdam,SR,2021-11-23 22:16:54,5.8833,-55.0833,84.22,74,40,6.91,scattered clouds
202,Saldanha,ZA,2021-11-23 22:16:54,-33.0117,17.9442,62.13,79,100,24.94,overcast clouds
203,Turayf,SA,2021-11-23 22:16:54,31.6725,38.6637,48.45,100,0,4.61,clear sky
204,Vila,PT,2021-11-23 22:16:55,42.0304,-8.1588,42.33,80,49,6.73,scattered clouds
205,Natitingou,BJ,2021-11-23 22:16:55,10.3042,1.3796,79.81,21,83,4.61,broken clouds
206,Hlohovec,SK,2021-11-23 22:16:56,48.4317,17.8031,35.71,69,21,5.57,few clouds
207,Vuktyl,RU,2021-11-23 22:16:56,63.8567,57.3094,9.37,96,96,7.85,overcast clouds
208,Lompoc,US,2021-11-23 22:16:56,34.6391,-120.4579,79.79,55,1,12.66,clear sky
209,Krasnoyarka,RU,2021-11-23 22:16:57,55.3333,73.1167,15.75,92,100,14.45,overcast clouds
210,Mazagao,BR,2021-11-23 22:16:57,-0.115,-51.2894,86.05,74,68,5.23,broken clouds
211,Nishihara,JP,2021-11-23 22:16:58,26.1842,127.7558,65.48,53,20,14.97,few clouds
212,Salalah,OM,2021-11-23 22:16:58,17.0151,54.0924,84.29,28,0,12.66,clear sky
213,Bournemouth,GB,2021-11-23 22:13:53,50.7205,-1.8795,46.29,88,6,7.07,clear sky
214,Rundu,NA,2021-11-23 22:16:59,-17.9333,19.7667,71.26,14,52,4.36,broken clouds
215,Sorland,NO,2021-11-23 22:16:59,67.667,12.6934,39.58,63,96,29.04,overcast clouds
216,Latung,PH,2021-11-23 22:17:00,5.5,120.8833,83.26,73,79,7.49,broken clouds
217,Eureka,US,2021-11-23 22:17:00,40.8021,-124.1637,59.13,70,15,10.0,few clouds
218,Saint-Augustin,CA,2021-11-23 22:17:00,51.226,-58.6502,40.77,83,100,23.44,overcast clouds
219,Kendari,ID,2021-11-23 22:17:01,-3.945,122.4989,75.63,93,34,3.78,scattered clouds
220,Dothan,US,2021-11-23 22:14:23,31.2232,-85.3905,57.6,34,1,6.91,clear sky
221,Hithadhoo,MV,2021-11-23 22:17:01,-0.6,73.0833,82.22,75,99,18.7,overcast clouds
222,Manaus,BR,2021-11-23 22:12:28,-3.1019,-60.025,82.9,83,20,2.3,few clouds
